City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,isabela,6.7085,121.9711,26.600000000000023,82,100,1.0,PH,1691703994
166,hasaki,35.7333,140.8333,27.390000000000043,88,3,3.76,JP,1691697106
167,port moresby,-9.4431,147.1797,22.680000000000007,73,20,5.14,PG,1691699025
168,dadukou,26.5479,101.7054,22.960000000000036,92,96,0.82,CN,1691707376
169,longyearbyen,78.2186,15.6401,10.910000000000025,71,75,1.03,SJ,0
170,baruun-urt,46.6806,113.2792,16.970000000000027,92,13,2.17,MN,1691702328
171,vernon,50.2581,-119.2691,21.83000000000004,57,67,1.79,CA,1691671111
172,tiksi,71.6872,128.8694,15.480000000000018,51,4,1.87,RU,1691688089
173,paso de los toros,-32.8167,-56.5167,20.02000000000004,68,100,5.96,UY,1691663332
174,palangkaraya,-2.2,113.8333,23.74000000000001,80,78,1.55,ID,1691620153
175,bodaybo,57.8506,114.1933,17.350000000000023,94,100,1.04,RU,1691699818
176,trairi,-3.2778,-39.2689,30.210000000000036,48,53,7.16,BR,1691656965
177,hamilton,39.1834,-84.5333,25.700000000000045,80,75,3.09,US,1691664386
178,poronaysk,49.2167,143.1167,12.730000000000018,97,100,1.74,RU,1691694747
179,beitbridge,-22.2167,30.0,22.430000000000007,34,100,5.48,ZW,1691641684
180,san felipe,10.3399,-68.7425,33.23000000000002,46,89,3.82,VE,1691663114
181,colchani,-20.3,-66.9333,8.189999999999998,25,0,3.76,BO,1691664792
182,carnarvon,-24.8667,113.6333,19.24000000000001,84,2,1.93,AU,1691708188
183,banfora,10.6333,-4.7667,23.04000000000002,93,99,1.96,BF,1691647738
184,medina,24.4686,39.6142,42.24000000000001,5,0,3.6,SA,1691636031
185,ulladulla,-35.35,150.4667,7.490000000000009,72,3,1.61,AU,1691700274
186,kone,-21.0595,164.8658,13.53000000000003,70,0,2.16,NC,1691695604
187,broome,42.2506,-75.833,21.220000000000027,92,100,1.68,US,1691661913
188,daru,-9.0763,143.2092,23.950000000000045,75,32,7.66,PG,1691699952
189,amga,60.8953,131.9608,13.54000000000002,98,24,1.48,RU,1691694604
190,nacala,-14.5428,40.6728,22.960000000000036,68,22,5.22,MZ,1691638556
191,port-vila,-17.7338,168.3219,19.78000000000003,52,40,4.63,VU,1691694530
